Sr. No,utterance_text,mi_quality,topic
0,Thanks for filling it out. We give this form to everyone once a year regardless of why they come in. It helps us provide better care. Is it okay if I take a look at what you put down?,1,reducing alcohol consumption
1,"So, let's see. It looks that you put-- You drink alcohol at least four times a week on average-",1,reducing alcohol consumption
2,Okay. That's at least 12 drinks a week.,1,reducing alcohol consumption
3,"Uh, what else can you tell me about your drinking.",1,reducing alcohol consumption
4,"Okay. So, can I share with you some information on alcohol use?",1,reducing alcohol consumption
5,"Okay. So, there has been a lot of research on alcohol use and the guidelines we use in this country says that having seven or more drinks per week can raise the risk of health problems for women.",1,reducing alcohol consumption
6,"Yeah, you're surprised to hear that?",1,reducing alcohol consumption
7,"Well things like heart disease, cancer, liver problems, uh, stomach pains, insomnia. Unfortunately, uh, people who drink at a risky level are more likely to be diagnosed with depression and alcohol can make depression worse or harder to treat.",1,reducing alcohol consumption
8,Okay. And how do you feel after you drink?,1,reducing alcohol consumption
9,"So, there are some answers on this form here. Uh, less than monthly you drank more than you intended to.",1,reducing alcohol consumption
10,And sometimes you feel guilty after you drink.,1,reducing alcohol consumption
11,So you're not proud of finishing a bottle?,1,reducing alcohol consumption
12,Where do you wanna go from here? What do you wanna change about your drinking habits?,1,reducing alcohol consumption
13,"If I gave you a scale from 0 to 10, 0 being not ready at all to cut back on drinking and 10 being very ready, what number would you be at?",1,reducing alcohol consumption
14,Okay. Why do you think it's not something less like a six?,1,reducing alcohol consumption
15,What would help you cut back to two drinks?,1,reducing alcohol consumption
16,Having less wine in the house will help?,1,reducing alcohol consumption
17,What else besides drinking helps you relax and unwind in the evenings?,1,reducing alcohol consumption
18,"So, it's not just wine that helps you relax. Um, there's reading a book, watching a movie, and taking a hot bath too.",1,reducing alcohol consumption
19,"Okay. So, it sounds like you have some reasons to cut back on drinking and you have ways to relax besides drinking and it sounds like you're pretty ready to cut back.",1,reducing alcohol consumption
20,Great. I'd be interested to see how well you do on your goal in the next few weeks. Would you be willing to come back and talk to me about it?,1,reducing alcohol consumption
21,"Great. So, let's see how well you're doing with these new meds.",1,reducing alcohol consumption
22,"And before you leave, uh, is it okay if we go over this screening form that you filled out today on your alcohol use?",1,reducing alcohol consumption
23,"Okay. Uh, thanks for filling this out. Uh, looks like you use alcohol two to three days a week?",1,reducing alcohol consumption
24,"Okay. And then when you do drink alcohol, you typically have five or six drinks.",1,reducing alcohol consumption
25,"Okay. Well, the reason why I like to talk to patients when they fill out this form is because sometimes, uh, alcohol use can impact our health. Um, and my role is to be helpful. I can share some information with you about alcohol use, um, but I don't tell anyone what to do. It's always up to the patient to decide what they wanna do about their drinking. Um, so is it okay if we talk a little bit more about your alcohol use?",1,reducing alcohol consumption
26,How would you define drinking too much?,1,reducing alcohol consumption
27,So a limit of four a night doesn't feel right to you?,1,reducing alcohol consumption
28,"You're not alone in feeling that way. Uh, binge drinking can feel normal to some people.",1,reducing alcohol consumption
29,"Mm-hmm. Well, technically, we define binge drinking as having more than four drinks on one occasion.",1,reducing alcohol consumption
