Sr. No.,utterance_text,topic,mi_quality
0,Thanks for filling it out. We give this form to everyone once a year regardless of why they come in. It helps us provide better care. Is it okay if I take a look at what you put down?,reducing alcohol consumption,1
1,"So, let's see. It looks that you put-- You drink alcohol at least four times a week on average-",reducing alcohol consumption,1
2,Okay. That's at least 12 drinks a week.,reducing alcohol consumption,1
3,"Uh, what else can you tell me about your drinking.",reducing alcohol consumption,1
4,"Okay. So, can I share with you some information on alcohol use?",reducing alcohol consumption,1
5,"Okay. So, there has been a lot of research on alcohol use and the guidelines we use in this country says that having seven or more drinks per week can raise the risk of health problems for women.",reducing alcohol consumption,1
6,"Yeah, you're surprised to hear that?",reducing alcohol consumption,1
7,"Well things like heart disease, cancer, liver problems, uh, stomach pains, insomnia. Unfortunately, uh, people who drink at a risky level are more likely to be diagnosed with depression and alcohol can make depression worse or harder to treat.",reducing alcohol consumption,1
8,Okay. And how do you feel after you drink?,reducing alcohol consumption,1
9,"So, there are some answers on this form here. Uh, less than monthly you drank more than you intended to.",reducing alcohol consumption,1
10,And sometimes you feel guilty after you drink.,reducing alcohol consumption,1
11,So you're not proud of finishing a bottle?,reducing alcohol consumption,1
12,Where do you wanna go from here? What do you wanna change about your drinking habits?,reducing alcohol consumption,1
13,"If I gave you a scale from 0 to 10, 0 being not ready at all to cut back on drinking and 10 being very ready, what number would you be at?",reducing alcohol consumption,1
14,Okay. Why do you think it's not something less like a six?,reducing alcohol consumption,1
15,What would help you cut back to two drinks?,reducing alcohol consumption,1
16,Having less wine in the house will help?,reducing alcohol consumption,1
17,What else besides drinking helps you relax and unwind in the evenings?,reducing alcohol consumption,1
18,"So, it's not just wine that helps you relax. Um, there's reading a book, watching a movie, and taking a hot bath too.",reducing alcohol consumption,1
19,"Okay. So, it sounds like you have some reasons to cut back on drinking and you have ways to relax besides drinking and it sounds like you're pretty ready to cut back.",reducing alcohol consumption,1
20,Great. I'd be interested to see how well you do on your goal in the next few weeks. Would you be willing to come back and talk to me about it?,reducing alcohol consumption,1
21,"Great. So, let's see how well you're doing with these new meds.",reducing alcohol consumption,1
22,"And before you leave, uh, is it okay if we go over this screening form that you filled out today on your alcohol use?",reducing alcohol consumption,1
